OG	mean_dNdS	median_dNdS
OG_14809	0.46175759438103603	0.2643
OG_18752	0.00451	0.001
OG_2703	36.87289974424552	1.27625
OG_18735	18.21373294553146	1.7151
OG_4270	2.209153204565408	0.2395
OG_7669	0.019581377151799684	0.001
OG_9302	0.864081088280061	0.3014
OG_7071	0.0829	0.0829
OG_18917	0.11162666666666662	0.001
OG_18285	0.193755	0.1553
OG_3609	0.01581014047410009	0.001
OG_19362	0.4611999999999999	0.4294
OG_13428	1.0586552238805969	0.186
OG_16935	0.024663432835820898	0.001
OG_8475	0.042891439859525905	0.0287
OG_10940	7.726372732240437	0.3538
OG_13165	0.24300785776997363	0.001
OG_6392	0.5157	0.5157
OG_17487	0.3005968832309043	0.0932
OG_9318	0.297521992976295	0.29505000000000003
OG_17706	0.8668145780051151	0.3098
OG_18888	7.7985404411764705	0.5139
OG_15662	2.6868852502194907	0.1326
OG_12094	9.937900790166813	0.0403
OG_2986	2.0477388888888886	0.0274
OG_18987	0.20945999999999998	0.1991
OG_18501	15.678029419703103	0.4857
OG_7034	0.7635526262626261	0.125
OG_6408	0.4416333333333333	0.4555
OG_11252	0.21793156277436346	0.0282
OG_18644	0.03775824175824176	0.001
OG_19341	0.5065700000000001	0.55325
OG_18869	0.3964	0.3964
OG_2791	0.34402572431957856	0.08979999999999999
OG_15824	0.02287155399473222	0.0212
OG_20021	0.2625	0.2663
OG_274	12.914343810359965	0.1857
OG_1265	1.8580877085162422	0.1587
OG_3445	12.747313476733979	0.0802
OG_2209	0.3563320017559262	0.11895
OG_11240	0.22242115891132572	0.0592
OG_17215	3.7289982440737495	0.166
OG_1066	0.23621856892010537	0.1051
OG_18268	0.3996993989071038	0.369
OG_4341	37.97258239683933	2.0001
OG_16088	1.7824897435897435	0.4495
OG_3474	0.30996352063213345	0.0953
OG_14498	0.1453941176470588	0.1601
OG_16121	1.3646711589113258	0.1063
OG_12709	5.380630860403863	0.3663
OG_694	10.542537681159422	0.6603
OG_18445	0.07490666666666666	0.0854
OG_18529	2.859034782608697	0.1218
OG_14239	0.1401428571428571	0.0862
OG_6565	0.2435	0.2435
OG_18579	33.15155	0.368
OG_16055	11.244270909090904	0.6188
OG_15996	2.7145094820017555	0.17554999999999998
OG_2651	0.9106913081650572	0.001
OG_19672	0.6877666666666666	0.6877
OG_14799	0.21828643546971027	0.1955
OG_18279	0.1676249462365591	0.1571
OG_18374	2.6590755279503107	0.075
OG_15200	0.44277194907813866	0.1972
OG_17378	0.17599424934152766	0.1511
OG_18874	0.1404	0.0466
OG_4592	1.928405838454785	0.001
OG_11484	0.1394066666666667	0.1212
OG_7013	32.19165769230769	0.7185
OG_236	0.14959367866549605	0.081
OG_18797	0.040323809523809526	0.001
OG_14583	0.8343963564530289	0.2667
OG_3418	0.07628349429323968	0.0798
OG_19876	0.31192116935483877	0.0225
OG_17948	30.581565	1.6642000000000001
OG_14995	0.2535071428571429	0.0062
OG_3963	2.0141151887620716	0.2597
OG_10792	0.11110096575943812	0.001
OG_2833	0.14551747146619842	0.133
OG_14758	45.58173272727271	1.9228
OG_2206	0.09894995610184372	0.001
OG_10160	0.032599207459207455	0.0107
